class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
2,0.04878048780487805,90.0,2.0,82.0,0.012195121951219513,90.0,0.0,234.0,0.1557675288719536,9.00850374202516,0.0,255.0
12,0.02881770618768346,69.69552629003958,2.0,242.0,0.05763541237536692,69.69552629003958,0.0,202.0,0.04,0.0,0.0,255.0
13,0.017241379310344827,0.0,0.0,135.0,0.035749969036268696,15.300845572449994,0.0,255.0,0.2744854694645936,55.575411439765396,0.0,254.0
14,0.019230769230769232,90.0,0.0,70.0,0.057692307692307696,90.0,0.0,214.0,0.057692307692307696,90.0,0.0,255.0
17,0.008928571428571428,0.0,8.0,201.0,0.06973364310700869,26.32829310517088,0.0,205.0,0.027277184510557904,10.892829601077658,0.0,255.0
18,0.017857142857142856,0.0,10.0,145.0,0.31578006415520565,15.984096185150987,0.0,185.0,0.06899461665540028,39.06258390051848,0.0,244.0
19,0.009900990099009901,90.0,16.0,102.0,0.5139224290799728,13.366930696316846,0.0,183.0,0.7008088267299686,77.11724815053509,0.0,146.0
20,0.02702702702702703,0.0,9.0,119.0,0.02702702702702703,0.0,0.0,176.0,0.05405405405405406,0.0,0.0,199.0
22,0.034482758620689655,90.0,13.0,62.0,0.06896551724137931,90.0,0.0,193.0,0.46901622443915325,17.102728969052375,0.0,135.0
23,0.058823529411764705,90.0,13.0,93.0,0.029411764705882353,90.0,0.0,170.0,0.14705882352941177,90.0,0.0,158.0
24,0.043333333333333335,90.0,6.5,78.0,0.03,90.0,0.0,184.5,0.06916964599265876,79.22951204073078,0.0,176.5
26,0.08498870254947138,60.64224645720873,25.0,163.0,0.041666666666666664,0.0,0.0,139.0,0.5615609063828281,15.296547314430068,1.0,47.0
27,0.041666666666666664,90.0,0.0,73.0,0.401289375968647,69.14554196042165,0.0,136.0,0.1439688883624741,60.25511870305778,0.0,254.0
30,0.019444444444444445,0.0,12.5,125.5,0.04867271161434514,60.232772459729944,0.0,217.5,0.3729718824287468,82.93196910092647,0.0,141.0
33,0.03225806451612903,0.0,27.0,253.0,0.018518518518518517,90.0,0.0,204.0,0.018518518518518517,90.0,0.0,255.0
34,0.0625,90.0,27.0,141.0,0.19382838916021677,25.46334506187161,0.0,182.0,0.1767766952966369,45.0,0.0,184.0
36,0.07936507936507936,90.0,10.5,82.0,0.13095238095238093,90.0,0.0,119.0,0.24580793736762432,27.503989900720672,0.0,197.5
