class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
2,0.009687,0.0,2,82,0.019374,0.0,0,234,0.029061,90.0,0,255
12,0.009493,0.0,2,242,0.018986,90.0,0,202,0.018986,90.0,0,255
13,0.01674,90.0,0,135,0.01674,90.0,0,255,0.01674,90.0,0,254
14,0.029692,90.0,0,70,0.029692,90.0,0,214,0.044539,0.0,0,255
17,0.006352,45.0,8,201,0.006352,45.0,0,205,0.006352,45.0,0,255
18,0.01617,45.0,10,145,0.022868,0.0,0,185,0.011434,90.0,0,244
19,0.013508,45.0,16,102,0.013508,45.0,0,183,0.013508,45.0,0,146
20,0.028599,63.4349,9,119,0.02558,90.0,0,176,0.05116,90.0,0,199
22,0.035714,45.0,13,62,0.050508,90.0,0,193,0.050508,90.0,0,135
23,0.030766,45.0,13,93,0.021755,0.0,0,170,0.043509,90.0,0,158
24,0.029613,0.0,1,82,0.014807,0.0,0,198,0.014807,90.0,0,226
24,0.065866,0.0,12,74,0.032933,0.0,0,171,0.032933,0.0,0,127
26,0.057615,0.0,25,163,0.028808,0.0,0,139,0.057615,0.0,1,47
27,0.039873,45.0,0,73,0.039873,45.0,0,136,0.101656,33.6901,0,254
30,0.026078,0.0,12,99,0.026078,90.0,0,238,0.130388,0.0,0,189
30,0.015014,90.0,13,152,0.030029,90.0,0,197,0.030029,0.0,0,93
33,0.023221,45.0,27,253,0.03284,90.0,0,204,0.03284,90.0,0,255
34,0.023156,45.0,27,141,0.046312,45.0,0,182,0.023156,45.0,0,184
36,0.093454,90.0,0,97,0.093454,90.0,0,112,0.093454,90.0,0,255
36,0.057928,45.0,21,67,0.057928,45.0,0,126,0.081923,0.0,0,140
37,0.003883,26.5651,0,224,0.003883,26.5651,0,216,0.00521,90.0,0,255
37,0.041834,26.5651,30,255,0.037418,90.0,0,157,0.037418,90.0,0,104
37,0.125,45.0,37,70,0.125,45.0,0,133,0.125,45.0,1,16
37,0.282843,0.0,27,58,0.761577,21.8014,0,59,0.761577,21.8014,0,29
37,0.025766,90.0,11,120,0.025766,90.0,0,193,0.025766,90.0,0,184
37,0.06576,90.0,17,99,0.06576,0.0,0,163,0.185996,45.0,0,162
37,0.051503,45.0,15,133,0.051503,45.0,0,243,0.051503,45.0,0,36
37,0.242536,45.0,36,52,0.171499,0.0,0,86,0.342997,90.0,3,26
37,1.0,0.0,56,84,1.0,0.0,3,5,1.0,0.0,2,3
37,0.107521,45.0,35,96,0.409426,21.8014,0,66,0.107521,45.0,1,14
37,0.058421,45.0,22,74,0.058421,45.0,0,203,0.058421,45.0,0,74
37,0.2,0.0,24,74,0.2,0.0,1,141,0.2,0.0,4,48
38,0.006664,45.0,11,87,0.018848,0.0,0,255,0.006664,45.0,0,207
38,0.090351,0.0,28,80,0.090351,0.0,0,30,0.090351,0.0,0,106
40,0.021685,45.0,0,143,0.021685,45.0,0,216,0.030668,0.0,0,255
50,0.030949,90.0,15,118,0.015475,0.0,0,176,0.061898,90.0,0,87
52,0.009674,90.0,20,189,0.019348,0.0,0,226,0.019348,0.0,0,188
53,0.022704,0.0,2,80,0.022704,0.0,0,249,0.022704,0.0,0,246
54,0.033214,90.0,19,255,0.033214,0.0,0,187,0.033214,90.0,0,92
54,0.027951,90.0,18,98,0.0625,26.5651,0,160,0.027951,90.0,0,111
55,0.019095,90.0,11,135,0.019095,0.0,0,238,0.019095,0.0,0,184
57,0.014468,90.0,11,81,0.028937,90.0,0,199,0.014468,90.0,0,180
67,0.0102,45.0,0,103,0.016127,63.4349,0,223,0.016127,63.4349,0,154
69,0.048263,90.0,0,111,0.024131,0.0,0,189,0.024131,0.0,0,255
75,0.017324,0.0,0,179,0.017324,0.0,0,137,0.017324,0.0,0,222
77,0.017225,0.0,13,123,0.017225,0.0,0,236,0.017225,0.0,0,168
77,0.010856,90.0,12,129,0.024275,26.5651,0,204,0.032568,90.0,0,255
79,0.039479,63.4349,19,87,0.039479,63.4349,0,190,0.070622,90.0,0,182
85,0.023199,45.0,18,108,0.023199,45.0,0,204,0.023199,45.0,0,187
85,0.196116,63.4349,29,85,0.316228,56.3099,0,81,0.438529,36.8699,0,22
91,0.033214,0.0,12,77,0.033214,90.0,0,169,0.033214,90.0,0,169
95,0.043478,45.0,19,84,0.043478,45.0,0,131,0.061488,0.0,0,82
95,0.062838,0.0,8,98,0.062838,0.0,0,156,0.044433,45.0,0,249
98,0.024388,0.0,0,89,0.017245,45.0,0,133,0.024388,90.0,0,255
101,0.007692,45.0,0,255,0.007692,45.0,0,248,0.007692,45.0,0,255
102,0.033634,0.0,0,117,0.033634,0.0,0,219,0.033634,0.0,0,109
106,0.011969,45.0,10,177,0.008464,90.0,0,251,0.011969,45.0,0,255
119,0.008359,0.0,0,212,0.008359,0.0,0,239,0.008359,0.0,0,215
123,0.0116,45.0,2,169,0.016404,90.0,0,249,0.0116,45.0,0,176
129,0.015525,26.5651,0,127,0.015525,26.5651,0,255,0.015525,26.5651,0,145
131,0.01712,90.0,3,161,0.01712,0.0,0,244,0.00856,0.0,0,255
131,0.037411,45.0,0,59,0.037411,45.0,0,142,0.037411,45.0,0,155
133,0.017447,0.0,0,179,0.017447,0.0,0,232,0.008723,90.0,0,211
133,0.01098,45.0,0,174,0.015528,90.0,0,253,0.01098,45.0,0,255
134,0.041876,90.0,19,80,0.041876,90.0,0,155,0.041876,90.0,0,108
142,0.038222,90.0,21,124,0.027027,45.0,0,180,0.038222,0.0,0,116
142,0.022311,90.0,21,180,0.044621,0.0,0,191,0.022311,90.0,0,106
153,0.007766,90.0,7,255,0.007766,90.0,0,255,0.007766,90.0,0,253
158,0.111803,0.0,32,123,0.055902,90.0,0,132,0.111803,0.0,0,28
160,0.014227,45.0,0,117,0.014227,45.0,0,214,0.014227,45.0,0,255
160,0.085749,90.0,0,93,0.257248,0.0,0,37,0.085749,0.0,0,21
162,0.018606,45.0,17,105,0.018606,45.0,0,200,0.018606,45.0,0,172
163,0.025612,45.0,11,177,0.01811,90.0,0,146,0.025612,45.0,0,203
164,0.020702,0.0,10,102,0.010351,90.0,0,180,0.020702,0.0,0,216
165,0.181071,45.0,32,74,0.181071,45.0,0,182,0.181071,45.0,0,32
167,0.0137,45.0,0,123,0.0137,45.0,0,225,0.0137,45.0,0,173
169,0.009778,45.0,10,147,0.009778,45.0,0,255,0.013829,90.0,0,219
173,0.024028,0.0,6,123,0.024028,90.0,0,211,0.024028,90.0,0,255
173,0.014719,90.0,7,196,0.029437,0.0,0,219,0.014719,90.0,0,236
175,0.01373,0.0,7,255,0.01373,0.0,0,235,0.01373,0.0,0,255
176,0.06769,90.0,19,59,0.095728,45.0,0,132,0.033845,0.0,0,109
177,0.013444,45.0,19,170,0.013444,45.0,0,179,0.013444,45.0,0,226
