class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
2,0.050702688944627705,-90.0,2.0,82.0,0.017629897896799,-90.0,0.0,234.0,0.09196308658978718,0.0,0.0,255.0
12,0.01259242329152236,0.0,2.0,242.0,0.07023890817818439,0.0,0.0,202.0,0.039348388941107565,0.0,0.0,255.0
13,0.017708164055147028,0.0,0.0,135.0,0.009837095732280634,-90.0,0.0,255.0,0.1349326915294064,-90.0,0.0,254.0
14,0.02079145716016138,-90.0,0.0,70.0,0.05887828287552698,-90.0,0.0,214.0,0.05674192334443648,-90.0,0.0,255.0
17,0.010266074815394769,0.0,8.0,201.0,0.07025827024583561,26.044602187163903,0.0,205.0,0.03515249495435558,0.0,0.0,255.0
18,0.018798581653645795,0.0,10.0,145.0,0.0430570949213052,-90.0,0.0,185.0,0.025125222883992486,0.0,0.0,244.0
19,0.010311799163686602,-90.0,16.0,102.0,0.09924717519047623,-90.0,0.0,183.0,0.1901330439734962,-90.0,0.0,146.0
20,0.026695654886005116,0.0,9.0,119.0,0.027772173981172987,0.0,0.0,176.0,0.04860401210644427,0.0,0.0,199.0
22,0.04869291543291626,-90.0,13.0,62.0,0.0651798479538089,-90.0,0.0,193.0,0.20903990209600873,0.0,0.0,135.0
23,0.05686702547362482,-90.0,13.0,93.0,0.032304578148512675,-90.0,0.0,170.0,0.1414054665582769,-90.0,0.0,158.0
24,0.046169909673617185,-90.0,6.5,78.0,0.033119961032002494,-90.0,0.0,184.5,0.03607904800525006,-90.0,0.0,176.5
26,0.08508767119683174,55.50621100870379,25.0,163.0,0.04563408647553576,0.0,0.0,139.0,0.29365388771488443,-90.0,1.0,47.0
27,0.04574820463025465,-90.0,0.0,73.0,0.23258761249144075,64.47821805241682,0.0,136.0,0.14167144889786926,60.1875536941063,0.0,254.0
30,0.020543155166036296,0.0,12.5,125.5,0.02203651743010579,-90.0,0.0,217.5,0.1097891601586272,-90.0,0.0,141.0
33,0.036163697250845596,0.0,27.0,253.0,0.019640764657620543,-90.0,0.0,204.0,0.021352369579687155,-90.0,0.0,255.0
34,0.06302478728293513,-90.0,27.0,141.0,0.22313737380016282,0.0,0.0,182.0,0.23433904598770774,-90.0,0.0,184.0
36,0.08195005619524365,-90.0,10.5,82.0,0.12619819245288702,-90.0,0.0,119.0,0.12246573681284889,-45.0,0.0,197.5
37,0.11904040609806467,-52.5,19.166666666666668,98.41666666666667,0.13268683576890156,-52.5,0.0,126.58333333333333,0.14584477956379702,-40.31354493633609,0.4166666666666667,75.0
38,0.02853941806995724,-45.0,19.5,83.5,0.21646772860583233,-45.0,0.0,142.5,0.11731067201958384,-90.0,0.0,156.5
40,0.028233220734953896,0.0,0.0,143.0,0.13133304929882136,0.0,0.0,216.0,0.0744071232610116,-90.0,0.0,255.0
50,0.0415833622822753,0.0,15.0,118.0,0.07763647313649255,0.0,0.0,176.0,0.19936501600868092,0.0,0.0,87.0
52,0.08801857722914401,0.0,20.0,189.0,0.06645468614363527,0.0,0.0,226.0,0.12526733961528042,0.0,0.0,188.0
53,0.03206738219053718,-90.0,2.0,80.0,0.08804325848252668,0.0,0.0,249.0,0.08260194623570256,39.573522094813256,0.0,246.0
54,0.07678867098013623,-45.0,18.5,176.5,0.0586844201056792,-45.0,0.0,173.5,0.05408265263244358,0.0,0.0,101.5
55,0.027109112739242033,0.0,11.0,135.0,0.014067143904643642,0.0,0.0,238.0,0.014699366257999514,0.0,0.0,184.0
57,0.020536042576264752,-90.0,11.0,81.0,0.05293978133547512,-90.0,0.0,199.0,0.23160398453687614,35.26180114229852,0.0,180.0
67,0.025422228024424575,-90.0,0.0,103.0,0.061156842508800484,-90.0,0.0,223.0,0.024367753239029098,-90.0,0.0,154.0
69,0.031275523951381855,0.0,0.0,111.0,0.06296650929693191,0.0,0.0,189.0,0.03172771990032961,0.0,0.0,255.0
75,0.09269926668241515,-90.0,0.0,179.0,0.0896149280062103,-90.0,0.0,137.0,0.0868802938125695,-90.0,0.0,222.0
77,0.039817963258035355,0.0,12.5,126.0,0.026438596249228667,-90.0,0.0,220.0,0.0745344487271859,-45.0,0.0,211.5
79,0.025626067141312804,-90.0,19.0,87.0,0.07986893070082578,54.99802359324519,0.0,190.0,0.04536197636960398,0.0,0.0,182.0
