class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
37,0.003883,26.5651,0,224,0.003883,26.5651,0,216,0.00521,90.0,0,255
37,0.041834,26.5651,30,255,0.037418,90.0,0,157,0.037418,90.0,0,104
37,0.125,45.0,37,70,0.125,45.0,0,133,0.125,45.0,1,16
37,0.282843,0.0,27,58,0.761577,21.8014,0,59,0.761577,21.8014,0,29
37,0.025766,90.0,11,120,0.025766,90.0,0,193,0.025766,90.0,0,184
37,0.06576,90.0,17,99,0.06576,0.0,0,163,0.185996,45.0,0,162
37,0.051503,45.0,15,133,0.051503,45.0,0,243,0.051503,45.0,0,36
37,0.242536,45.0,36,52,0.171499,0.0,0,86,0.342997,90.0,3,26
37,1.0,0.0,56,84,1.0,0.0,3,5,1.0,0.0,2,3
37,0.107521,45.0,35,96,0.409426,21.8014,0,66,0.107521,45.0,1,14
37,0.058421,45.0,22,74,0.058421,45.0,0,203,0.058421,45.0,0,74
37,0.2,0.0,24,74,0.2,0.0,1,141,0.2,0.0,4,48
