class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max,area_px,centroid_x,centroid_y,y0,y1,x0,x1,bbox_h,bbox_w,R_mean,R_p95,R_contrast,G_mean,G_p95,G_contrast,B_mean,B_p95,B_contrast,driver_channel,driver_corr,top1_freq,top1_angle,top1_coef,top1_score,top2_freq,top2_angle,top2_coef,top2_score,top3_freq,top3_angle,top3_coef,top3_score,top4_freq,top4_angle,top4_coef,top4_score,top5_freq,top5_angle,top5_coef,top5_score,curve_complexity
3,2.0,90.0,2.0,82.0,1.0,90.0,0.0,234.0,3.0,0.0,0.0,255.0,2862,369.3857442348008,73.0461215932914,41,123,332,397,82,65,34.351502445842065,48.0,13.648497554157935,25.39308176100629,96.0,70.60691823899371,12.251921733053809,36.0,23.74807826694619,G,14368.082234329031,1.0,90.0,-283.5185137734428,141.7592568867214,2.0,90.0,-263.8752939750819,87.95843132502729,1.0,0.0,-132.61689459091463,66.30844729545731,3.0,90.0,-155.72162696209077,38.93040674052269,4.123105625617661,75.96375653207353,155.0581071584187,30.266427922755216,0.6118555828497068
13,1.0,0.0,7.0,242.0,2.8284271247461903,45.0,0.0,202.0,2.0,0.0,0.0,255.0,2270,498.17224669603524,609.6709251101322,589,626,449,549,37,100,45.262555066079294,90.0,44.737444933920706,27.49295154185022,94.0,66.50704845814978,28.74625550660793,95.54999999999973,66.8037444933918,B,14193.762722465384,2.0,0.0,-310.38093699378766,103.46031233126256,1.0,90.0,133.60483731033742,66.80241865516871,4.0,0.0,330.8178064859121,66.16356129718243,3.0,90.0,-246.79363091297301,61.698407728243254,3.0,0.0,-200.51324665110533,50.12831166277633,0.7029162451926655
14,1.0,0.0,0.0,135.0,1.0,90.0,0.0,255.0,1.0,90.0,0.0,254.0,3678,225.93257205002718,525.3977705274606,475,581,199,254,106,55,51.51087547580207,80.0,28.489124524197933,31.553289831430124,123.0,91.44671016856988,8.36568787384448,24.0,15.63431212615552,G,14011.756382580586,1.0,90.0,247.88228920692563,123.94114460346282,2.23606797749979,26.56505117707799,-254.2841024902096,78.57810906885565,2.0,0.0,-123.32920414651952,41.109734715506505,2.23606797749979,63.43494882292201,83.33640272107027,25.752364690885326,2.8284271247461903,45.0,93.74268217365578,24.48595183325334,0.5782411226706798
15,1.0,90.0,0.0,70.0,1.0,90.0,0.0,214.0,1.0,90.0,0.0,255.0,1636,262.2622249388753,551.1876528117359,526,578,240,283,52,43,29.741442542787286,48.0,18.258557457212714,23.358190709046454,88.25,64.89180929095355,8.64119804400978,21.25,12.60880195599022,G,4321.082597667921,1.0,90.0,129.75108957631682,64.87554478815841,1.4142135623730951,45.0,-81.68407627795276,33.83465222424644,3.0,90.0,-128.23216637751645,32.05804159437911,2.23606797749979,63.43494882292201,-94.69310447314115,29.261778532322964,3.1622776601683795,71.56505117707799,108.571284278675,26.08458472572992,0.6514215212663788
18,1.0,0.0,8.0,200.0,1.0,0.0,0.0,175.0,1.0,90.0,0.0,255.0,7331,213.469922247988,375.639749011049,254,447,175,283,193,108,64.1235847769745,117.0,52.876415223025504,20.868503614786523,77.0,56.13149638521348,9.197517391897422,32.0,22.80248260810258,G,2990.164061578078,1.0,0.0,25.871712960048963,12.935856480024482,1.4142135623730951,45.0,27.9740155121098,11.587216619151222,2.23606797749979,26.56505117707799,-36.84120565466834,11.384558640554928,2.0,90.0,-33.56815962117922,11.189386540393073,3.0,90.0,-40.50638002869992,10.12659500717498,0.7739419841407373
19,1.0,0.0,10.0,145.0,1.0,90.0,0.0,185.0,1.0,0.0,0.0,244.0,2155,255.62877030162414,485.84872389791184,456,525,225,279,69,54,40.35174013921114,71.0,30.648259860788862,24.591183294663573,86.0,61.40881670533643,8.435266821345708,23.0,14.564733178654292,G,4216.170554275326,1.0,90.0,65.1193017721699,32.55965088608495,3.0,90.0,-127.02495372271537,31.75623843067884,1.0,0.0,51.57105732521754,25.78552866260877,2.0,0.0,45.60298275256556,15.200994250855187,2.8284271247461903,45.0,-57.78303483229609,15.093152605360583,0.7295610437930311
20,1.0,90.0,16.0,102.0,1.0,90.0,0.0,183.0,1.0,90.0,0.0,146.0,1237,432.86580436540015,327.6111560226354,276,377,419,451,101,32,49.88278092158448,76.0,26.117219078415523,24.444624090541634,89.0,64.55537590945836,7.867421180274858,25.0,17.13257881972514,G,1736.8529242165941,1.0,90.0,-37.03547138596714,18.51773569298357,2.8284271247461903,45.0,-50.82438723958866,13.275526889638291,3.605551275463989,56.309932474020215,-55.6972140604711,12.093495594587608,3.1622776601683795,18.43494882292201,44.88321793433418,10.783331050653283,5.0,90.0,-62.70467114944,10.450778524906667,0.7156405261169748
21,2.0,0.0,9.0,119.0,2.0,0.0,0.0,176.0,1.0,0.0,0.0,199.0,1492,499.83646112600536,411.29892761394103,396,425,464,538,29,74,47.50804289544236,76.0,28.491957104557642,27.099195710455763,92.0,64.90080428954424,8.82372654155496,26.450000000000045,17.626273458445084,G,5012.967168473613,2.0,0.0,-179.8074146021052,59.935804867368404,1.0,90.0,91.22507720561678,45.61253860280839,1.0,0.0,-90.1925469388643,45.09627346943215,3.0,0.0,109.02975363244357,27.257438408110893,3.605551275463989,56.309932474020215,-115.97770705072966,25.182155210951464,0.7048721577000548
23,1.0,90.0,13.0,62.0,2.0,90.0,0.0,193.0,1.0,90.0,0.0,135.0,561,280.68092691622104,591.1782531194295,577,606,267,296,29,29,31.966131907308377,45.0,13.033868092691623,34.58288770053476,105.0,70.41711229946523,10.35650623885918,34.0,23.643493761140817,G,2381.3062307324003,2.0,90.0,-159.401261925946,53.13375397531533,1.4142135623730951,45.0,-115.37933033693312,47.79168344308319,1.0,90.0,74.5377284775082,37.2688642387541,2.0,0.0,-104.37874210325069,34.792914034416896,1.0,0.0,67.69239038457715,33.846195192288576,0.7431084574379949
24,1.0,0.0,13.0,93.0,1.0,90.0,0.0,170.0,1.0,0.0,0.0,158.0,778,259.073264781491,597.8290488431877,581,615,244,277,34,33,41.20051413881748,70.0,28.799485861182518,31.825192802056556,109.29999999999995,77.47480719794339,10.394601542416453,26.149999999999977,15.755398457583524,G,6876.475927651218,1.0,90.0,340.4656035520126,170.2328017760063,1.0,0.0,146.5772386238225,73.28861931191125,2.0,90.0,-108.81025288434905,36.27008429478302,5.0,90.0,-161.8319308703809,26.971988478396813,2.0,0.0,76.4857710371508,25.4952570123836,0.4876499074035575
