class,driver_channel,rank,freq,angle,coef,score
3,G,1,1.0,90.0,-283.5185137734428,141.7592568867214
3,G,2,2.0,90.0,-263.8752939750819,87.95843132502729
3,G,3,1.0,0.0,-132.61689459091463,66.30844729545731
3,G,4,3.0,90.0,-155.72162696209077,38.93040674052269
3,G,5,4.123105625617661,75.96375653207353,155.0581071584187,30.266427922755216
13,B,1,2.0,0.0,-310.38093699378766,103.46031233126256
13,B,2,1.0,90.0,133.60483731033742,66.80241865516871
13,B,3,4.0,0.0,330.8178064859121,66.16356129718243
13,B,4,3.0,90.0,-246.79363091297301,61.698407728243254
13,B,5,3.0,0.0,-200.51324665110533,50.12831166277633
14,G,1,1.0,90.0,247.88228920692563,123.94114460346282
14,G,2,2.23606797749979,26.56505117707799,-254.2841024902096,78.57810906885565
14,G,3,2.0,0.0,-123.32920414651952,41.109734715506505
14,G,4,2.23606797749979,63.43494882292201,83.33640272107027,25.752364690885326
14,G,5,2.8284271247461903,45.0,93.74268217365578,24.48595183325334
15,G,1,1.0,90.0,129.75108957631682,64.87554478815841
15,G,2,1.4142135623730951,45.0,-81.68407627795276,33.83465222424644
15,G,3,3.0,90.0,-128.23216637751645,32.05804159437911
15,G,4,2.23606797749979,63.43494882292201,-94.69310447314115,29.261778532322964
15,G,5,3.1622776601683795,71.56505117707799,108.571284278675,26.08458472572992
18,G,1,1.0,0.0,25.871712960048963,12.935856480024482
18,G,2,1.4142135623730951,45.0,27.9740155121098,11.587216619151222
18,G,3,2.23606797749979,26.56505117707799,-36.84120565466834,11.384558640554928
18,G,4,2.0,90.0,-33.56815962117922,11.189386540393073
18,G,5,3.0,90.0,-40.50638002869992,10.12659500717498
19,G,1,1.0,90.0,65.1193017721699,32.55965088608495
19,G,2,3.0,90.0,-127.02495372271537,31.75623843067884
19,G,3,1.0,0.0,51.57105732521754,25.78552866260877
19,G,4,2.0,0.0,45.60298275256556,15.200994250855187
19,G,5,2.8284271247461903,45.0,-57.78303483229609,15.093152605360583
20,G,1,1.0,90.0,-37.03547138596714,18.51773569298357
20,G,2,2.8284271247461903,45.0,-50.82438723958866,13.275526889638291
20,G,3,3.605551275463989,56.309932474020215,-55.6972140604711,12.093495594587608
20,G,4,3.1622776601683795,18.43494882292201,44.88321793433418,10.783331050653283
20,G,5,5.0,90.0,-62.70467114944,10.450778524906667
21,G,1,2.0,0.0,-179.8074146021052,59.935804867368404
21,G,2,1.0,90.0,91.22507720561678,45.61253860280839
21,G,3,1.0,0.0,-90.1925469388643,45.09627346943215
21,G,4,3.0,0.0,109.02975363244357,27.257438408110893
21,G,5,3.605551275463989,56.309932474020215,-115.97770705072966,25.182155210951464
23,G,1,2.0,90.0,-159.401261925946,53.13375397531533
23,G,2,1.4142135623730951,45.0,-115.37933033693312,47.79168344308319
23,G,3,1.0,90.0,74.5377284775082,37.2688642387541
23,G,4,2.0,0.0,-104.37874210325069,34.792914034416896
23,G,5,1.0,0.0,67.69239038457715,33.846195192288576
24,G,1,1.0,90.0,340.4656035520126,170.2328017760063
24,G,2,1.0,0.0,146.5772386238225,73.28861931191125
24,G,3,2.0,90.0,-108.81025288434905,36.27008429478302
24,G,4,5.0,90.0,-161.8319308703809,26.971988478396813
24,G,5,2.0,0.0,76.4857710371508,25.4952570123836
25,G,1,2.0,90.0,-812.3783980948026,270.7927993649342
25,G,2,2.8284271247461903,45.0,557.7088322202168,145.67570807742376
25,G,3,1.0,90.0,-220.90639860129758,110.45319930064879
25,G,4,3.605551275463989,33.690067525979785,502.33304796313473,109.07120948567157
25,G,5,1.4142135623730951,45.0,-258.5063910418137,107.076853129642
27,G,1,1.0,0.0,-150.80194190662957,75.40097095331478
27,G,2,1.0,90.0,-115.41003981481181,57.705019907405905
27,G,3,2.23606797749979,63.43494882292201,134.70028070096726,41.624675883674634
27,G,4,2.23606797749979,26.56505117707799,126.50608186930381,39.092529189403294
27,G,5,3.605551275463989,33.690067525979785,-70.12290969773788,15.225736400182257
28,B,1,1.0,0.0,123.5573877435852,61.7786938717926
28,B,2,2.23606797749979,26.56505117707799,-182.05470869156613,56.25799889167438
28,B,3,3.605551275463989,56.309932474020215,239.65913319725274,52.03701334822466
28,B,4,3.0,90.0,-144.60523907443311,36.15130976860828
28,B,5,2.0,90.0,-93.44836056365155,31.149453521217183
31,G,1,1.0,90.0,171.1819745297022,85.5909872648511
31,G,2,2.0,0.0,71.80552357377807,23.935174524592693
31,G,3,4.123105625617661,14.036243467926479,-93.0814536896066,18.168950728667507
31,G,4,2.0,90.0,-49.73670633977972,16.578902113259907
31,G,5,2.8284271247461903,45.0,-61.95197742912897,16.182096566154737
34,R,1,1.0,0.0,323.30050065102375,161.65025032551188
34,R,2,1.0,90.0,232.03427241519265,116.01713620759632
34,R,3,3.0,90.0,-370.3585246545806,92.58963116364515
34,R,4,2.0,0.0,252.34057451574722,84.1135248385824
34,R,5,2.23606797749979,63.43494882292201,-219.08647817317745,67.70144499326781
35,G,1,2.0,0.0,-48.33416295591169,16.111387651970563
35,G,2,1.4142135623730951,45.0,-26.987496120451897,11.178586907582464
35,G,3,2.0,90.0,-30.286925394506653,10.095641798168884
35,G,4,5.0,53.13010235415598,60.2545212733709,10.042420212228484
35,G,5,5.385164807134504,21.80140948635181,62.29085676027557,9.755559745407744
37,B,1,1.0,0.0,397.40264040469617,198.70132020234809
37,B,2,1.0,90.0,189.6653178868552,94.8326589434276
37,B,3,5.0,0.0,-278.61516968917385,46.43586161486231
37,B,4,3.0,0.0,-181.79656288501565,45.44914072125391
37,B,5,3.1622776601683795,18.43494882292201,-175.32656337834612,42.122745691899254
38,G,1,1.0,90.0,-75.6250454770962,37.8125227385481
38,G,2,3.1622776601683795,71.56505117707799,82.15865632449783,19.738869684434796
38,G,3,5.0990195135927845,11.309932474020213,-119.48784432144083,19.591320220428912
38,G,4,1.0,0.0,36.987294279854595,18.493647139927297
38,G,5,4.123105625617661,14.036243467926479,71.44635513980492,13.945907104187626
39,G,1,2.23606797749979,63.43494882292201,-479.73799958633384,148.24719471961865
39,G,2,2.8284271247461903,45.0,-530.0489082414718,138.45082875297308
39,G,3,4.0,90.0,-474.8812047686764,94.97624095373529
39,G,4,1.0,0.0,172.44721481797745,86.22360740898873
39,G,5,2.23606797749979,26.56505117707799,270.9008164561744,83.71295607500632
41,G,1,1.0,90.0,-40.967802232203056,20.483901116101528
41,G,2,1.0,0.0,-34.98694050163556,17.49347025081778
41,G,3,2.0,0.0,-47.10136568829836,15.700455229432785
41,G,4,5.0,0.0,-84.26785585595253,14.044642642658756
41,G,5,5.0,90.0,81.03053939853528,13.50508989975588
51,G,1,1.0,90.0,-69.06070610203057,34.53035305101528
51,G,2,2.0,0.0,85.67408429326149,28.55802809775383
51,G,3,2.0,90.0,66.17598955710292,22.058663185700976
51,G,4,4.47213595499958,63.43494882292201,-99.53283392066038,18.189027966259296
51,G,5,1.0,0.0,-30.82412647341397,15.412063236706985
53,G,1,3.0,0.0,266.8183937823097,66.70459844557743
53,G,2,1.0,0.0,-123.46872144174148,61.73436072087074
53,G,3,2.0,90.0,-103.87106716164448,34.62368905388149
53,G,4,1.0,90.0,56.94611485005673,28.473057425028365
53,G,5,3.605551275463989,33.690067525979785,-129.3897105528693,28.094293780245415
54,G,1,1.0,0.0,-84.74735826923799,42.373679134618996
54,G,2,6.0,0.0,-145.70493895274703,20.814991278963863
54,G,3,1.0,90.0,38.9883038125528,19.4941519062764
54,G,4,1.4142135623730951,45.0,37.99886073424331,15.739643470850044
54,G,5,4.123105625617661,75.96375653207353,80.20914081154794,15.656351180906528
55,G,1,3.0,90.0,-104.78372895149654,26.195932237874135
55,G,2,1.0,90.0,50.504780646280274,25.252390323140137
55,G,3,3.605551275463989,33.690067525979785,96.96286207201072,21.053475745363865
55,G,4,2.0,90.0,-61.65557565646969,20.551858552156563
55,G,5,2.0,0.0,-58.70712893320639,19.569042977735464
56,G,1,1.0,0.0,-127.78733466898247,63.893667334491234
56,G,2,1.0,90.0,67.5096192841763,33.75480964208815
56,G,3,1.4142135623730951,45.0,67.62832668486044,28.01257011346749
56,G,4,2.0,90.0,-67.13229350139848,22.377431167132826
56,G,5,5.0,0.0,92.71817652027785,15.453029420046308
58,G,1,3.0,90.0,103.33497621076337,25.833744052690843
58,G,2,1.0,90.0,-50.75736976278227,25.378684881391134
58,G,3,2.0,0.0,-71.35125434502363,23.78375144834121
58,G,4,2.23606797749979,63.43494882292201,76.26912158141319,23.56845471470574
58,G,5,3.605551275463989,33.690067525979785,-104.42604613842103,22.673951475635356
68,G,1,2.23606797749979,63.43494882292201,194.0727745353247,59.97178547691287
68,G,2,2.0,0.0,-167.75390968719006,55.91796989573002
68,G,3,2.23606797749979,26.56505117707799,136.00102296964195,42.02662734999694
68,G,4,5.0,0.0,222.35639696327996,37.059399493879994
68,G,5,5.0990195135927845,78.69006752597979,222.09187870553063,36.41435778497808
70,B,1,1.0,90.0,335.4428471307484,167.7214235653742
70,B,2,2.0,0.0,-432.4209754947275,144.14032516490917
70,B,3,2.8284271247461903,45.0,486.09584641495655,126.97011868736637
70,B,4,4.123105625617661,14.036243467926479,-393.6177369766724,76.83186054342114
70,B,5,6.4031242374328485,51.34019174590991,300.66998825163455,40.613932524776416
76,B,1,1.0,90.0,397.9208289374224,198.9604144687112
76,B,2,2.0,90.0,300.9723057168196,100.32410190560654
76,B,3,1.0,0.0,133.1619793659113,66.58098968295565
76,B,4,1.4142135623730951,45.0,155.31095300608405,64.33190312021043
76,B,5,2.23606797749979,26.56505117707799,-163.78412609833376,50.61207837323448
78,G,1,2.0,90.0,128.93359985838737,42.97786661946245
78,G,2,1.0,0.0,70.80045613994737,35.400228069973686
78,G,3,1.0,90.0,-50.39070232685181,25.195351163425904
78,G,4,3.605551275463989,33.690067525979785,-106.23675072631204,23.067108446341017
78,G,5,2.23606797749979,26.56505117707799,-71.91683936793888,22.223525546426366
80,G,1,1.0,90.0,-64.59947710710884,32.29973855355442
80,G,2,2.0,0.0,84.97888301585346,28.326294338617817
80,G,3,2.0,90.0,-77.74995007855806,25.91665002618602
80,G,4,3.605551275463989,56.309932474020215,116.8182348160687,25.3646583935383
80,G,5,1.0,0.0,50.44117340069985,25.220586700349926
86,G,1,1.4142135623730951,45.0,46.78681678305142,19.37973405180504
86,G,2,1.0,90.0,35.790883917637686,17.895441958818843
86,G,3,4.123105625617661,75.96375653207353,-58.1608484925536,11.35265456986191
86,G,4,4.0,90.0,-48.20078925189387,9.640157850378774
