class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
3,4.0,90.0,2.0,82.0,1.0,90.0,0.0,234.0,10.198,11.31,0.0,255.0
13,1.414,45.0,7.0,242.0,2.828,45.0,0.0,202.0,4.0,0.0,0.0,255.0
14,1.0,0.0,0.0,135.0,2.236,26.57,0.0,255.0,49.244,77.09,0.0,254.0
15,1.0,90.0,0.0,70.0,6.708,63.43,0.0,214.0,3.0,90.0,0.0,255.0
18,4.0,0.0,8.0,200.0,20.0,90.0,0.0,175.0,17.117,83.29,0.0,255.0
19,1.0,0.0,10.0,145.0,3.0,90.0,0.0,185.0,8.062,82.87,0.0,244.0
20,1.0,90.0,16.0,102.0,20.0,36.87,0.0,183.0,69.181,85.86,0.0,146.0
21,2.0,0.0,9.0,119.0,2.0,0.0,0.0,176.0,4.0,0.0,0.0,199.0
23,1.0,90.0,13.0,62.0,2.0,90.0,0.0,193.0,13.601,17.1,0.0,135.0
24,2.0,90.0,13.0,93.0,1.0,90.0,0.0,170.0,5.0,90.0,0.0,158.0
25,4.0,90.0,1.0,82.0,2.0,90.0,0.0,198.0,4.472,63.43,0.0,226.0
27,2.236,63.43,25.0,163.0,1.0,0.0,0.0,127.0,9.849,23.96,1.0,47.0
28,1.0,90.0,0.0,73.0,9.849,66.04,0.0,136.0,3.606,56.31,0.0,254.0
31,2.0,0.0,12.0,152.0,1.0,90.0,0.0,238.0,1.0,90.0,0.0,189.0
34,3.0,90.0,27.0,236.0,1.0,90.0,0.0,174.0,1.0,90.0,0.0,255.0
35,5.657,45.0,27.0,141.0,8.062,29.74,0.0,182.0,25.08,66.5,0.0,184.0
37,1.0,0.0,0.0,97.0,1.0,90.0,0.0,126.0,1.0,0.0,0.0,255.0
38,6.708,63.43,0.0,255.0,5.099,11.31,0.0,205.0,3.162,18.43,0.0,255.0
39,2.0,0.0,11.0,87.0,6.403,51.34,0.0,255.0,3.606,33.69,0.0,207.0
41,2.828,45.0,0.0,143.0,22.561,77.2,0.0,216.0,8.246,14.04,0.0,255.0
51,1.0,90.0,15.0,118.0,11.402,52.13,0.0,176.0,14.56,74.05,0.0,87.0
53,4.0,0.0,20.0,189.0,3.0,0.0,0.0,226.0,15.556,45.0,0.0,188.0
54,2.0,90.0,2.0,80.0,6.0,0.0,0.0,249.0,5.0,36.87,0.0,246.0
55,5.0,0.0,18.0,255.0,8.0,0.0,0.0,243.0,3.0,0.0,0.0,111.0
56,2.0,0.0,11.0,135.0,1.0,0.0,0.0,238.0,1.0,0.0,0.0,184.0
58,1.0,90.0,11.0,81.0,20.881,73.3,0.0,199.0,10.63,48.81,0.0,180.0
68,3.0,90.0,0.0,103.0,8.0,90.0,0.0,223.0,3.0,90.0,0.0,154.0
70,2.0,0.0,0.0,111.0,4.472,26.57,0.0,189.0,2.828,45.0,0.0,255.0
76,1.0,90.0,0.0,179.0,1.0,90.0,0.0,137.0,1.0,90.0,0.0,222.0
78,3.0,0.0,12.0,129.0,39.0,0.0,0.0,236.0,9.0,0.0,0.0,255.0
80,1.0,90.0,19.0,87.0,8.062,82.87,0.0,190.0,6.083,80.54,0.0,182.0
86,1.414,45.0,18.0,108.0,26.173,6.58,0.0,204.0,13.601,72.9,0.0,187.0
92,2.0,0.0,12.0,77.0,8.0,0.0,0.0,169.0,10.0,0.0,0.0,169.0
96,1.0,0.0,8.0,98.0,44.553,9.04,0.0,156.0,11.662,30.96,0.0,249.0
99,2.0,0.0,0.0,89.0,9.055,6.34,0.0,133.0,2.0,0.0,0.0,255.0
102,1.0,90.0,0.0,255.0,5.831,30.96,0.0,248.0,1.0,0.0,0.0,255.0
103,1.0,0.0,0.0,117.0,2.0,90.0,0.0,219.0,6.325,71.57,0.0,109.0
107,1.0,90.0,11.0,177.0,23.77,67.75,0.0,251.0,7.616,23.2,0.0,255.0
120,1.0,90.0,0.0,212.0,2.0,90.0,0.0,239.0,41.012,45.0,0.0,215.0
124,2.828,45.0,2.0,169.0,19.723,59.53,0.0,249.0,13.892,59.74,0.0,176.0
130,4.0,90.0,0.0,127.0,2.0,90.0,0.0,255.0,1.0,90.0,0.0,145.0
132,3.606,33.69,0.0,161.0,1.414,45.0,0.0,244.0,1.414,45.0,0.0,255.0
134,3.0,90.0,0.0,179.0,5.0,0.0,0.0,253.0,7.0,0.0,0.0,255.0
135,2.0,0.0,19.0,80.0,12.083,24.44,0.0,155.0,17.464,23.63,0.0,108.0
143,5.0,0.0,21.0,180.0,7.28,15.95,0.0,191.0,19.416,55.49,0.0,116.0
154,1.0,90.0,7.0,255.0,2.236,26.57,0.0,255.0,21.19,70.71,0.0,253.0
161,1.414,45.0,0.0,117.0,3.0,0.0,0.0,214.0,16.155,21.8,0.0,255.0
163,7.81,50.19,17.0,105.0,5.0,0.0,0.0,200.0,28.443,10.12,0.0,172.0
164,4.0,0.0,11.0,177.0,1.0,0.0,0.0,146.0,12.083,65.56,0.0,203.0
165,1.0,90.0,10.0,102.0,4.243,45.0,0.0,180.0,3.0,0.0,0.0,216.0
166,3.606,33.69,32.0,74.0,3.606,33.69,0.0,182.0,3.606,33.69,0.0,32.0
168,4.243,45.0,0.0,123.0,4.243,45.0,0.0,225.0,4.243,45.0,0.0,173.0
170,1.0,90.0,10.0,147.0,32.14,84.64,0.0,255.0,10.296,29.05,0.0,219.0
174,1.0,0.0,6.0,196.0,4.472,26.57,0.0,219.0,37.336,20.38,0.0,255.0
176,1.0,90.0,7.0,255.0,1.0,0.0,0.0,235.0,14.56,74.05,0.0,255.0
177,1.0,90.0,19.0,59.0,2.828,45.0,0.0,132.0,5.831,59.04,0.0,109.0
178,1.0,0.0,19.0,170.0,1.0,0.0,0.0,179.0,1.0,0.0,0.0,226.0
