class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max,concentration,R_concentration,G_concentration,B_concentration,area_px
3,4.0,90.0,2.0,82.0,1.0,90.0,0.0,234.0,10.198,11.31,0.0,255.0,0.02255,0.02384,0.02555,0.01827,2862
13,1.414,45.0,7.0,242.0,2.828,45.0,0.0,202.0,4.0,0.0,0.0,255.0,0.05919,0.12058,0.01827,0.03873,2270
14,1.0,0.0,0.0,135.0,2.236,26.57,0.0,255.0,49.244,77.09,0.0,254.0,0.04427,0.1185,0.0102,0.00412,3678
15,1.0,90.0,0.0,70.0,6.708,63.43,0.0,214.0,3.0,90.0,0.0,255.0,0.04776,0.1057,0.01331,0.02429,1636
18,4.0,0.0,8.0,200.0,20.0,90.0,0.0,175.0,17.117,83.29,0.0,255.0,0.00853,0.02094,0.0016,0.00305,7331
19,1.0,0.0,10.0,145.0,3.0,90.0,0.0,185.0,8.062,82.87,0.0,244.0,0.02631,0.06384,0.00858,0.00652,2155
20,1.0,90.0,16.0,102.0,20.0,36.87,0.0,183.0,69.181,85.86,0.0,146.0,0.03056,0.07996,0.00598,0.00574,1237
21,2.0,0.0,9.0,119.0,2.0,0.0,0.0,176.0,4.0,0.0,0.0,199.0,0.06327,0.1486,0.02244,0.01875,1492
23,1.0,90.0,13.0,62.0,2.0,90.0,0.0,193.0,13.601,17.1,0.0,135.0,0.04169,0.06036,0.03575,0.02896,561
24,2.0,90.0,13.0,93.0,1.0,90.0,0.0,170.0,5.0,90.0,0.0,158.0,0.08693,0.12094,0.11541,0.02444,778
25,4.0,90.0,1.0,82.0,2.0,90.0,0.0,198.0,4.472,63.43,0.0,226.0,0.04984,0.06262,0.07529,0.0116,5331
27,2.236,63.43,25.0,163.0,1.0,0.0,0.0,127.0,9.849,23.96,1.0,47.0,0.07659,0.13335,0.07591,0.02052,341
28,1.0,90.0,0.0,73.0,9.849,66.04,0.0,136.0,3.606,56.31,0.0,254.0,0.05162,0.05904,0.02613,0.06969,428
31,2.0,0.0,12.0,152.0,1.0,90.0,0.0,238.0,1.0,90.0,0.0,189.0,0.04267,0.11611,0.00762,0.00427,4509
34,3.0,90.0,27.0,236.0,1.0,90.0,0.0,174.0,1.0,90.0,0.0,255.0,0.05228,0.11654,0.0125,0.0278,895
35,5.657,45.0,27.0,141.0,8.062,29.74,0.0,182.0,25.08,66.5,0.0,184.0,0.01066,0.01555,0.00983,0.00661,573
37,1.0,0.0,0.0,97.0,1.0,90.0,0.0,126.0,1.0,0.0,0.0,255.0,0.08204,0.09226,0.04416,0.10968,328
38,6.708,63.43,0.0,255.0,5.099,11.31,0.0,205.0,3.162,18.43,0.0,255.0,0.00609,0.01508,0.00087,0.00232,26426
39,2.0,0.0,11.0,87.0,6.403,51.34,0.0,255.0,3.606,33.69,0.0,207.0,0.02057,0.04219,0.01457,0.00494,9895
41,2.828,45.0,0.0,143.0,22.561,77.2,0.0,216.0,8.246,14.04,0.0,255.0,0.02908,0.06099,0.00834,0.01789,1186
51,1.0,90.0,15.0,118.0,11.402,52.13,0.0,176.0,14.56,74.05,0.0,87.0,0.03427,0.0779,0.01242,0.01248,1089
53,4.0,0.0,20.0,189.0,3.0,0.0,0.0,226.0,15.556,45.0,0.0,188.0,0.03792,0.07735,0.03055,0.00586,2010
54,2.0,90.0,2.0,80.0,6.0,0.0,0.0,249.0,5.0,36.87,0.0,246.0,0.01542,0.02483,0.00547,0.01595,2845
55,5.0,0.0,18.0,255.0,8.0,0.0,0.0,243.0,3.0,0.0,0.0,111.0,0.01575,0.02722,0.01298,0.00706,1584
56,2.0,0.0,11.0,135.0,1.0,0.0,0.0,238.0,1.0,0.0,0.0,184.0,0.03586,0.08499,0.00836,0.01424,3681
58,1.0,90.0,11.0,81.0,20.881,73.3,0.0,199.0,10.63,48.81,0.0,180.0,0.03113,0.07052,0.01042,0.01245,1476
68,3.0,90.0,0.0,103.0,8.0,90.0,0.0,223.0,3.0,90.0,0.0,154.0,0.03778,0.09135,0.01263,0.00936,4421
70,2.0,0.0,0.0,111.0,4.472,26.57,0.0,189.0,2.828,45.0,0.0,255.0,0.0806,0.14356,0.05439,0.04386,2226
76,1.0,90.0,0.0,179.0,1.0,90.0,0.0,137.0,1.0,90.0,0.0,222.0,0.17203,0.21036,0.14424,0.16149,592
78,3.0,0.0,12.0,129.0,39.0,0.0,0.0,236.0,9.0,0.0,0.0,255.0,0.01547,0.03777,0.00277,0.00588,6822
80,1.0,90.0,19.0,87.0,8.062,82.87,0.0,190.0,6.083,80.54,0.0,182.0,0.02538,0.0472,0.01278,0.01618,1077
86,1.414,45.0,18.0,108.0,26.173,6.58,0.0,204.0,13.601,72.9,0.0,187.0,0.00597,0.00913,0.00507,0.0037,894
92,2.0,0.0,12.0,77.0,8.0,0.0,0.0,169.0,10.0,0.0,0.0,169.0,0.06045,0.15951,0.01163,0.01021,1274
96,1.0,0.0,8.0,98.0,44.553,9.04,0.0,156.0,11.662,30.96,0.0,249.0,0.02921,0.06845,0.00694,0.01224,710
99,2.0,0.0,0.0,89.0,9.055,6.34,0.0,133.0,2.0,0.0,0.0,255.0,0.10776,0.12926,0.02504,0.169,1675
102,1.0,90.0,0.0,255.0,5.831,30.96,0.0,248.0,1.0,0.0,0.0,255.0,0.03135,0.0584,0.0265,0.00915,7623
103,1.0,0.0,0.0,117.0,2.0,90.0,0.0,219.0,6.325,71.57,0.0,109.0,0.06344,0.10802,0.069,0.01331,1246
107,1.0,90.0,11.0,177.0,23.77,67.75,0.0,251.0,7.616,23.2,0.0,255.0,0.0065,0.01152,0.00385,0.00415,3975
120,1.0,90.0,0.0,212.0,2.0,90.0,0.0,239.0,41.012,45.0,0.0,215.0,0.03223,0.09348,0.00191,0.00131,16474
124,2.828,45.0,2.0,169.0,19.723,59.53,0.0,249.0,13.892,59.74,0.0,176.0,0.01417,0.03166,0.00372,0.00711,3924
130,4.0,90.0,0.0,127.0,2.0,90.0,0.0,255.0,1.0,90.0,0.0,145.0,0.01828,0.03272,0.01413,0.00799,2644
132,3.606,33.69,0.0,161.0,1.414,45.0,0.0,244.0,1.414,45.0,0.0,255.0,0.01578,0.03409,0.00673,0.00653,4605
134,3.0,90.0,0.0,179.0,5.0,0.0,0.0,253.0,7.0,0.0,0.0,255.0,0.025,0.04067,0.01739,0.01694,9032
135,2.0,0.0,19.0,80.0,12.083,24.44,0.0,155.0,17.464,23.63,0.0,108.0,0.03019,0.05983,0.01317,0.01757,562
143,5.0,0.0,21.0,180.0,7.28,15.95,0.0,191.0,19.416,55.49,0.0,116.0,0.02326,0.05591,0.00675,0.00713,1855
154,1.0,90.0,7.0,255.0,2.236,26.57,0.0,255.0,21.19,70.71,0.0,253.0,0.04294,0.12154,0.00537,0.0019,18076
161,1.414,45.0,0.0,117.0,3.0,0.0,0.0,214.0,16.155,21.8,0.0,255.0,0.02952,0.06782,0.00856,0.01219,2078
163,7.81,50.19,17.0,105.0,5.0,0.0,0.0,200.0,28.443,10.12,0.0,172.0,0.01003,0.01456,0.00858,0.00696,725
164,4.0,0.0,11.0,177.0,1.0,0.0,0.0,146.0,12.083,65.56,0.0,203.0,0.04343,0.03043,0.08954,0.01033,873
165,1.0,90.0,10.0,102.0,4.243,45.0,0.0,180.0,3.0,0.0,0.0,216.0,0.03328,0.08517,0.00812,0.00656,2896
166,3.606,33.69,32.0,74.0,3.606,33.69,0.0,182.0,3.606,33.69,0.0,32.0,0.14647,0.15089,0.15418,0.13436,31
168,4.243,45.0,0.0,123.0,4.243,45.0,0.0,225.0,4.243,45.0,0.0,173.0,0.02463,0.04266,0.02273,0.00849,1923
170,1.0,90.0,10.0,147.0,32.14,84.64,0.0,255.0,10.296,29.05,0.0,219.0,0.01162,0.02865,0.00291,0.0033,6229
174,1.0,0.0,6.0,196.0,4.472,26.57,0.0,219.0,37.336,20.38,0.0,255.0,0.07275,0.19774,0.01511,0.00541,4347
176,1.0,90.0,7.0,255.0,1.0,0.0,0.0,235.0,14.56,74.05,0.0,255.0,0.07603,0.20817,0.01377,0.00613,9153
177,1.0,90.0,19.0,59.0,2.828,45.0,0.0,132.0,5.831,59.04,0.0,109.0,0.03865,0.04546,0.0401,0.03038,281
178,1.0,0.0,19.0,170.0,1.0,0.0,0.0,179.0,1.0,0.0,0.0,226.0,0.03563,0.08276,0.01538,0.00875,1966
