class,R_freq,R_angle,R_mean,R_p95,G_freq,G_angle,G_mean,G_p95,B_freq,B_angle,B_mean,B_p95
3,4.0,90.0,34.351502445842065,48.0,1.0,90.0,25.39308176100629,96.0,10.198039027185569,11.309932474020213,12.251921733053809,36.0
13,1.4142135623730951,45.0,45.262555066079294,90.0,2.8284271247461903,45.0,27.49295154185022,94.0,4.0,0.0,28.74625550660793,95.54999999999973
14,1.0,0.0,51.51087547580207,80.0,2.23606797749979,26.56505117707799,31.553289831430124,123.0,49.24428900898052,77.09259132873416,8.36568787384448,24.0
15,1.0,90.0,29.741442542787286,48.0,6.708203932499369,63.43494882292201,23.358190709046454,88.25,3.0,90.0,8.64119804400978,21.25
18,4.0,0.0,64.1235847769745,117.0,20.0,90.0,20.868503614786523,77.0,17.11724276862369,83.29016319224307,9.197517391897422,32.0
19,1.0,0.0,40.35174013921114,71.0,3.0,90.0,24.591183294663573,86.0,8.06225774829855,82.8749836510982,8.435266821345708,23.0
20,1.0,90.0,49.88278092158448,76.0,20.0,36.86989764584402,24.444624090541634,89.0,69.18092222571191,85.85537625889572,7.867421180274858,25.0
21,2.0,0.0,47.50804289544236,76.0,2.0,0.0,27.099195710455763,92.0,4.0,0.0,8.82372654155496,26.450000000000045
23,1.0,90.0,31.966131907308377,45.0,2.0,90.0,34.58288770053476,105.0,13.601470508735444,17.102728969052375,10.35650623885918,34.0
24,2.0,90.0,41.20051413881748,70.0,1.0,90.0,31.825192802056556,109.29999999999995,5.0,90.0,10.394601542416453,26.149999999999977
25,4.0,90.0,36.475895704370664,57.0,2.0,90.0,28.43125117238792,121.0,4.47213595499958,63.43494882292201,16.501406865503657,67.0
27,2.23606797749979,63.43494882292201,105.5982404692082,141.0,1.0,0.0,21.19648093841642,89.0,9.848857801796104,23.962488974578186,7.13782991202346,15.0
28,1.0,90.0,42.7196261682243,63.0,9.848857801796104,66.03751102542182,22.80373831775701,80.59999999999991,3.605551275463989,56.309932474020215,22.80607476635514,133.64999999999998
31,2.0,0.0,47.17320913728099,80.0,1.0,90.0,24.751829673985362,87.0,1.0,90.0,8.162563761366156,20.599999999999454
34,3.0,90.0,80.63463687150838,163.29999999999995,1.0,90.0,27.95418994413408,101.0,1.0,90.0,12.09050279329609,37.299999999999955
35,5.656854249492381,45.0,75.55846422338568,105.39999999999998,8.06225774829855,29.74488129694222,18.44153577661431,89.39999999999998,25.079872407968907,66.5014343240479,7.322862129144852,20.0
37,1.0,0.0,36.21341463414634,57.64999999999998,1.0,90.0,16.222560975609756,58.64999999999998,1.0,0.0,50.2530487804878,206.2499999999999
38,6.708203932499369,63.43494882292201,55.99553470067358,101.0,5.0990195135927845,11.309932474020213,16.72852493756149,70.0,3.1622776601683795,18.43494882292201,10.426284719594339,35.0
39,2.0,0.0,31.410712481051036,47.0,6.4031242374328485,51.34019174590991,28.686508337544215,153.0,3.605551275463989,33.690067525979785,10.869226882263769,31.0
41,2.8284271247461903,45.0,75.01264755480607,119.0,22.561028345356956,77.19573393471325,20.04468802698145,78.5,8.246211251235321,14.036243467926479,10.863406408094436,38.0
